fish,depth,trial,spd,riaF,emgdfF,ria1,ria2,ria3,ria4,ria5,emgdf1,emgdf2,emgdf3,emgdf4,emgdf5
Polyp2018-009,3.0,tr01,1.246297198,8.96945804272857,0.32034848002147065,1.106665470754224,4.19226910332158,8.362666869060204,7.45139959057963,5.26856875357527,0.21682194617696998,0.3098608165532342,0.23592804752588475,0.359239832676168,0.2593655674014838
Polyp2018-009,3.0,tr02,1.310784095,9.163190079938724,0.4033808148525758,0.9258076392629095,4.110515953033832,6.5314952707544,8.414811524599122,5.816399809453874,0.282142857142199,0.1386904761901529,0.27708333333268753,0.327678571427808,0.26220238095177
Polyp2018-009,1.0,tr03,1.395718611,NA,NA,2.51871423774028,8.498485946009547,5.84373142689474,9.639681199466501,4.5508321574677835,0.284117207912738,0.324724710712196,0.2845698021643235,0.166332072858293,0.2609882418806905
Polyp2018-009,1.0,tr04,1.147429285,5.758655992573667,0.18994050275805302,3.377541511799145,7.828234360567273,6.078269590501336,8.196469828269064,5.054483883034008,0.6613492063711607,0.3753869047743665,0.26185515873885123,0.28457341270785974,0.31591269842318576
Polyp2018-009,0.9,tr05,1.100253722,11.64365046726088,0.1823075771249496,3.5095749323150365,7.681011697418583,8.316528630611474,12.1977705931193,5.80078296043341,0.477906976760051,0.34476744187191,0.330232558150497,0.3436627907090825,0.210465116286056
Polyp2018-009,0.9,tr06,1.341474715,10.439731160267224,0.3463459183241825,3.63461076079847,9.130509079627224,7.354061610107292,10.596811761963858,6.35016373444194,0.425625000014129,0.392565789486716,0.26425986842982496,0.2845723684304995,0.2562993421137715
Polyp2018-009,0.9,tr07,1.374051577,10.757392599269696,0.33982456140271666,4.086979731760296,7.298822541872116,5.54200860608825,10.882739376591736,7.9583621783078335,0.269999999999371,0.274999999999359,0.203888888888414,0.203888888888414,0.181666666666243
Polyp2018-009,0.9,tr08,0.727512031,6.402056047361446,0.4235085227413315,3.84758186571639,8.215402106693336,8.888403658907635,13.1463185246897,9.99590471941138,NA,0.665760869587318,0.249456521747412,0.266304347834927,0.309239130445048
Polyp2018-009,1.1,tr09,0.989888714,6.884248717674468,0.47469092887915376,2.020550857833458,8.18034968207634,10.696164771359934,11.699217233776794,14.083717280714117,0.24270833334139033,0.41983796297689996,0.12480902778192089,0.39600818453695574,0.26449652778655797
Polyp2018-009,1.1,tr10,1.366833245,7.929873999668402,0.2936965812063307,3.5609065946692366,10.292634665869207,3.3928417931139068,12.9556153128826,6.690682889999263,0.41403164925880853,0.17115998839128,0.17058652729950752,0.323976480846992,0.331126596991248
