fish,trial,depth,spd,elav,curvcoef,swd.H,swd.20,swd.40,swd.60,swd.80,swd.T,frq.40,frq.60,frq.80,frq.T,frq.F,rom
Polyp2017-023,tr03,2.0,0.475608527,NA,0.09072365541666669,0.041747308500000004,0.0537575498,0.06250230799999999,0.110360731,0.112631486,0.11391694766666667,4.513888889,4.291868262333334,4.2091114885,4.808878074666667,6.1795436535,0.19769052335000004
Polyp2017-023,tr04,3.0,0.641130928,NA,0.1349634265,0.22975088500000002,0.22683115966666667,0.28758375599999997,0.34191914500000004,0.33926386125,0.4230552345,2.155172414,2.692360156,2.753802371,2.6917997325,6.636930450727273,0.19253607021893937
Polyp2017-023,tr06,0.7,0.73372709,0.0334577845,0.6508167996,0.378978198,0.25466667200000004,0.263418283,0.412160535,0.607681015,0.847867309,3.846153846,3.731343284,3.846153846,4.012583462,3.937251984,0.8026425519166667
Polyp2017-023,tr07,0.0,0.370940269,0.027658284499999998,0.9897930385,0.526826593,0.2371086095,0.32489776849999996,0.26724133266666666,0.6817922193333333,1.616389826,2.3081177674999998,2.3981633025000004,2.3372651815000003,2.326034274,2.316742468,1.0755468758333333
Polyp2017-023,tr08,0.9,0.590676102,0.0075678855,0.30416429471428574,0.13143282925,0.1373059375,0.15283651333333334,0.21392377899999998,0.2996594385,0.459555694,2.908777969,2.8980166174999997,2.8872958979999996,3.1829636453333334,7.995953666888889,0.2995305811
Polyp2017-023,tr12,0.1,0.175033016,0.022330324458333335,0.6867098242857143,0.33977229800000003,0.1598222135,0.2529245955,0.31787843666666665,0.5855993506666667,1.1499992313333334,2.0666803305,2.12178235,2.143957928333333,2.102895381,2.164162235,1.013353453875
Polyp2017-023,tr14,0.0,0.455383903,0.03644508575,1,0.47355303699999995,0.26359636333333336,0.3480882385,0.312099699,0.7464775913333332,1.665113228,2.168965412,2.1535537566666667,2.174022637666667,2.1677757613333335,2.184592996666667,1.045664464875
Polyp2017-023,tr17,0.7,0.171395985,0.0176391865,0.48608176585714286,0.209808355,0.16350392833333333,0.20295096333333335,0.31477571049999997,0.4314285995,0.793478963,2.1083274525,2.196969697,2.1861750454999997,1.5476190475,7.157315265111111,0.5672938228285714
Polyp2017-023,tr19,0.1,0.190125156,0.022778480666666667,0.6358877737142857,0.35649644233333333,0.17059628500000001,0.191047869,0.2549386223333333,0.568572341,1.0684339305,2.9867728629999997,2.926478642,2.7933832709999997,2.9105184785000002,2.89986255,1.0036489982916665
Polyp2017-023,tr20,1.1,0.725876475,0.0036997935000000004,0.17899497383333332,0.115111497,0.12463663171428571,0.11733392533333334,0.137020186,0.17046883166666665,0.3570141173333333,3.472222222,3.5973084885000004,3.699541297,3.759544959,8.14541663657143,0.21547299300892864
Polyp2017-023,tr21,1.1,0.501655112,0.002168551,0.1667410472857143,0.0403272532,0.047322546,0.06394855633333334,0.082886056,0.12143457833333333,0.28704684733333335,3.907203907,3.759611036,3.937681904,3.9443230873333333,8.092275526571429,0.23734899135714294
